icao,airport,latitude,longitude
LOWL,Linz Airport (Blue Danube Airport),48.2332,14.1875
LOWS,Salzburg Airport,47.7933,13.0043
LOWK,Klagenfurt Airport,46.6425,14.3377
LOWG,Graz Airport,46.9911,15.4396
LOWI,Innsbruck Airport (Kranebitten Airport),47.2602,11.344
LOWW,Vienna International Airport,48.1103,16.5697
LQSA,Sarajevo International Airport,43.8246,18.3315
LQTZ,Tuzla International Airport,44.4587,18.7248
EBLG,Liege Airport,50.6374,5.44322
EBAW,Antwerp International Airport,51.1894,4.46028
EBOS,Ostend-Bruges International Airport,51.1989,2.86222
EBBR,Brussels Airport (Zaventem Airport),50.9014,4.48444
EBCI,Brussels South Charleroi Airport,50.4592,4.45382
LBBG,Burgas Airport,42.5696,27.5152
LBWN,Varna Airport,43.2321,27.8251
LBSF,Sofia Airport,42.6967,23.4114
LSZA,Lugano Airport,46.0043,8.91058
LSZR,St. Gallen-Altenrhein Airport,47.485,9.56077
LSGS,Sion Airport,46.2196,7.32676
LSZH,Zurich Airport,47.4647,8.54917
LSGG,Geneva Airport,46.2381,6.10895
LSZB,Bern Airport,46.9141,7.49715
LCPH,Paphos International Airport,34.718,32.4857
LCLK,Larnaca International Airport,34.8751,33.6249
LKPD,Pardubice Airport,50.0134,15.7386
LKMT,Leos Janacek Airport,49.6963,18.1111
LKPR,Vaclav Havel Airport Prague,50.1008,14.26
LKTB,Brno-Turany Airport,49.1513,16.6944
LKKV,Karlovy Vary Airport,50.203,12.915
EDLV,Weeze Airport (Niederrhein Airport),51.6024,6.14217
EDLW,Dortmund Airport,51.5183,7.61224
EDDT,Berlin Tegel Airport,52.5597,13.2877
EDFH,Frankfurt-Hahn Airport,49.9487,7.26389
EDDK,Cologne Bonn Airport,50.8659,7.14274
EDDE,Erfurt-Weimar Airport,50.9798,10.9581
EDDN,Nuremberg Airport,49.4987,11.0781
EDNY,Friedrichshafen Airport (Bodensee Airport),47.6713,9.51149
EDDR,Saarbrucken Airport,49.2146,7.10951
EDDS,Stuttgart Airport,48.6899,9.22196
EDDM,Munich Airport,48.3538,11.7861
EDDP,Leipzig/Halle Airport,51.4239,12.2364
EDDB,Berlin Brandenburg Airport,52.3514,13.4939
EDDB,Berlin Schonefeld Airport,52.38,13.5225
ETNL,Rostock-Laage Airport,53.9182,12.2783
EDDF,Frankfurt Airport,50.0333,8.57056
EDSB,Karlsruhe/Baden-Baden Airport,48.7794,8.0805
EDLP,Paderborn Lippstadt Airport,51.6141,8.61632
EDDW,Bremen Airport,53.0475,8.78667
EDDC,Dresden Airport,51.1328,13.7672
EDDG,Munster Osnabruck International Airport,52.1346,7.68483
EDJA,Memmingen Airport,47.9888,10.2395
EDDV,Hannover Airport,52.4611,9.68508
EDDH,Hamburg Airport,53.6304,9.98823
EDDL,Dusseldorf Airport,51.2895,6.76678
EKRN,Bornholm Airport,55.0633,14.7596
EKYT,Aalborg Airport,57.0928,9.84924
EKSB,Sonderborg Airport,54.9644,9.79173
EKAH,Aarhus Airport,56.3,10.619
EKEB,Esbjerg Airport,55.5259,8.5534
EKKA,Karup Airport,56.2975,9.12463
EKRK,Roskilde Airport,55.5856,12.1314
EKTS,Thisted Airport,57.0688,8.70522
EKCH,Copenhagen Airport,55.6179,12.656
EKBI,Billund Airport,55.7403,9.15178
EETN,Tallinn Airport (Lennart Meri Tallinn Airport),59.4133,24.8328
LEMH,Menorca Airport (Mahon Airport),39.8626,4.21865
GCLP,Gran Canaria Airport,27.9319,-15.3866
LEMD,Adolfo Suarez Madrid-Barajas Airport,40.4719,-3.56264
LEBL,Barcelona El Prat Airport,41.2971,2.07846
LESO,San Sebastian Airport,43.3565,-1.79061
LEAL,Alicante-Elche Airport,38.2822,-0.558156
LEGR,Federico Garcia Lorca Airport (Granada Jaen Airport),37.1887,-3.77736
GCFV,Fuerteventura Airport,28.4527,-13.8638
GCRR,Lanzarote Airport,28.9455,-13.6052
LEST,Santiago de Compostela Airport,42.8963,-8.41514
LEJR,Jerez Airport (La Parra Airport),36.7446,-6.06011
LEIB,Ibiza Airport,38.8729,1.37312
LEVX,Vigo-Peinador Airport,42.2318,-8.62677
LEZL,Seville Airport,37.418,-5.89311
GCLA,La Palma Airport,28.6265,-17.7556
LEPP,Pamplona Airport,42.77,-1.64633
LEVD,Valladolid Airport,41.7061,-4.85194
LEPA,Palma de Mallorca Airport,39.5517,2.73881
LERS,Reus Airport,41.1474,1.16717
LEGE,Girona-Costa Brava Airport,41.901,2.76055
LEVC,Valencia Airport,39.4893,-0.481625
LEMI,Region de Murcia International Airport,37.803,-1.125
LEAM,Almeria Airport,36.8439,-2.3701
GCHI,El Hierro Airport,27.8148,-17.8871
LELC,Murcia-San Javier Airport,37.775,-0.812389
LEVT,Vitoria Airport,42.8828,-2.72447
LECO,A Coruna Airport,43.3021,-8.37726
LEMG,Malaga Airport,36.6749,-4.49911
LEAS,Asturias Airport (Oviedo Airport),43.5636,-6.03462
LEBB,Bilbao Airport,43.3011,-2.91061
GEML,Melilla Airport,35.2798,-2.95626
LEXJ,Santander Airport,43.4271,-3.82001
LEZG,Zaragoza Airport,41.6662,-1.04155
EFTU,Turku Airport,60.5141,22.2628
EFPO,Pori Airport,61.4617,21.8
EFJY,Jyvaskyla Airport,62.3995,25.6783
EFKU,Kuopio Airport,63.0071,27.7978
EFUT,Utti Airport,60.8964,26.9384
EFKK,Kokkola-Pietarsaari Airport,63.7212,23.1431
EFHA,Halli Airport,61.856,24.7867
EFVA,Vaasa Airport,63.0507,21.7622
EFSA,Savonlinna Airport,61.9431,28.9451
EFMA,Mariehamn Airport,60.1222,19.8982
EFKE,Kemi-Tornio Airport,65.7787,24.5821
EFIV,Ivalo Airport,68.6073,27.4053
EFKT,Kittila Airport,67.701,24.8468
EFJO,Joensuu Airport,62.6629,29.6075
EFOU,Oulu Airport,64.9301,25.3546
EFRO,Rovaniemi Airport,66.5648,25.8304
EFHK,Helsinki Airport (Helsinki-Vantaa Airport),60.3172,24.9633
EFKI,Kajaani Airport,64.2855,27.6924
EFTP,Tampere-Pirkkala Airport,61.4141,23.6044
EFET,Enontekio Airport,68.3626,23.4243
EFKS,Kuusamo Airport,65.9876,29.2394
LFBH,La Rochelle - Ile de Re Airport,46.1792,-1.19528
LFMT,Montpellier-Mediterranee Airport (Frejorgues Airport),43.5762,3.96301
LFLS,Grenoble-Isere Airport,45.3629,5.32937
LFRH,Lorient South Brittany Airport (Lann-Bihoue Airport),47.7606,-3.44
LFBT,Tarbes-Lourdes-Pyrenees Airport,43.1787,-0.006439
LFRG,Deauville - Saint-Gatien Airport,49.3653,0.154306
LFKC,Calvi - Sainte-Catherine Airport,42.5244,8.79306
LFLC,Clermont-Ferrand Auvergne Airport,45.7867,3.16917
LFMN,Nice Cote d'Azur Airport,43.6584,7.21587
LFOT,Tours Val de Loire Airport,47.4322,0.727606
LFQQ,Lille Airport (Lille-Lesquin Airport),50.5633,3.08689
LFBL,Limoges - Bellegarde Airport,45.8628,1.17944
LFJL,Metz-Nancy-Lorraine Airport,48.9821,6.25132
LFLL,Lyon-Saint-Exupery Airport,45.7256,5.08111
LFBD,Bordeaux-Merignac Airport,44.8283,-0.715556
LFRB,Brest Bretagne Airport,48.4479,-4.41854
LFKJ,Ajaccio Napoleon Bonaparte Airport,41.9236,8.80292
LFML,Marseille Provence Airport,43.4393,5.22142
LFBE,Bergerac Dordogne Perigord Airport,44.8253,0.518611
LFMH,Saint-Etienne-Boutheon Airport,45.5406,4.29639
LFRZ,Saint-Nazaire Montoir Airport,47.3106,-2.15667
LFRS,Nantes Atlantique Airport,47.1532,-1.61073
LFKB,Bastia - Poretta Airport,42.5527,9.48373
LFRN,Rennes-Saint-Jacques Airport,48.0695,-1.73479
LFRK,Caen - Carpiquet Airport,49.1733,-0.45
LFBZ,Biarritz Pays Basque Airport,43.4683,-1.53111
LFKF,Figari-Sud Corse Airport,41.5006,9.09778
LFMK,Carcassonne Airport,43.216,2.30632
LFST,Strasbourg Airport,48.5383,7.62823
LFLB,Chambery-Savoie Airport,45.6381,5.88023
LFMU,Beziers Cap d'Agde Airport,43.3235,3.3539
LFTH,Toulon-Hyeres Airport (Hyeres Le Palyvestre Airport),43.0973,6.14603
LFBO,Toulouse-Blagnac Airport,43.6291,1.36382
LFMP,Perpignan-Rivesaltes Airport,42.7404,2.87067
LFTW,Nimes-Ales-Camargue-Cevennes Airport (Garons Airport),43.7574,4.41635
LFBP,Pau Pyrenees Airport,43.38,-0.418611
LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
EGNV,Teesside International Airport,54.5092,-1.42941
EGAC,George Best Belfast City Airport,54.6181,-5.8725
EGPU,Tiree Airport,56.4992,-6.86917
EGSH,Norwich International Airport,52.6758,1.28278
