STRUCTURE,STRUCTURE_ID,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,INTL,2017,408716,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,INTL,2018,441657,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,INTL,2019,448662,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,INTL,2020,76334,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,INTL,2021,82843,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,INTL,2022,243062,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,NAT,2017,75680,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,NAT,2018,76300,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,NAT,2019,74384,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,NAT,2020,23537,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,NAT,2021,30183,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWG,TOT,NAT,2022,39432,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,INTL,2017,453604,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,INTL,2018,460130,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,INTL,2019,472928,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,INTL,2020,207574,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,INTL,2021,46949,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,INTL,2022,317474,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,NAT,2017,96230,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,NAT,2018,104457,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,NAT,2019,103740,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,NAT,2020,31226,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,NAT,2021,19155,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWI,TOT,NAT,2022,48761,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,INTL,2017,51218,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,INTL,2018,53322,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,INTL,2019,45173,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,INTL,2020,14101,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,INTL,2021,7438,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,INTL,2022,19235,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,NAT,2017,58128,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,NAT,2018,61032,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,NAT,2019,60534,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,NAT,2020,9777,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,NAT,2021,7505,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWK,TOT,NAT,2022,22557,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,INTL,2017,189800,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,INTL,2018,226754,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,INTL,2019,219015,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,INTL,2020,26041,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,INTL,2021,33836,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,INTL,2022,101724,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2017,16211,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2018,10155,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2019,3740,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2020,1294,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2021,747,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2022,5194,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2017,901565,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2018,870594,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2019,817871,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2020,320660,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2021,154325,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2022,623213,
