direction,coverage,year,passengers,country_code,airport_code
Arrivals,International,2017,408716,AT,LOWG
Arrivals,International,2018,441657,AT,LOWG
Arrivals,International,2019,448662,AT,LOWG
Arrivals,International,2020,76334,AT,LOWG
Arrivals,International,2021,82843,AT,LOWG
Arrivals,International,2022,243062,AT,LOWG
Arrivals,National,2017,75680,AT,LOWG
Arrivals,National,2018,76300,AT,LOWG
Arrivals,National,2019,74384,AT,LOWG
Arrivals,National,2020,23537,AT,LOWG
Arrivals,National,2021,30183,AT,LOWG
Arrivals,National,2022,39432,AT,LOWG
Arrivals,International,2017,453604,AT,LOWI
Arrivals,International,2018,460130,AT,LOWI
Arrivals,International,2019,472928,AT,LOWI
Arrivals,International,2020,207574,AT,LOWI
Arrivals,International,2021,46949,AT,LOWI
Arrivals,International,2022,317474,AT,LOWI
Arrivals,National,2017,96230,AT,LOWI
Arrivals,National,2018,104457,AT,LOWI
Arrivals,National,2019,103740,AT,LOWI
Arrivals,National,2020,31226,AT,LOWI
Arrivals,National,2021,19155,AT,LOWI
Arrivals,National,2022,48761,AT,LOWI
Arrivals,International,2017,51218,AT,LOWK
Arrivals,International,2018,53322,AT,LOWK
Arrivals,International,2019,45173,AT,LOWK
Arrivals,International,2020,14101,AT,LOWK
Arrivals,International,2021,7438,AT,LOWK
Arrivals,International,2022,19235,AT,LOWK
Arrivals,National,2017,58128,AT,LOWK
Arrivals,National,2018,61032,AT,LOWK
Arrivals,National,2019,60534,AT,LOWK
Arrivals,National,2020,9777,AT,LOWK
Arrivals,National,2021,7505,AT,LOWK
Arrivals,National,2022,22557,AT,LOWK
Arrivals,International,2017,189800,AT,LOWL
Arrivals,International,2018,226754,AT,LOWL
Arrivals,International,2019,219015,AT,LOWL
Arrivals,International,2020,26041,AT,LOWL
Arrivals,International,2021,33836,AT,LOWL
Arrivals,International,2022,101724,AT,LOWL
Arrivals,National,2017,16211,AT,LOWL
Arrivals,National,2018,10155,AT,LOWL
Arrivals,National,2019,3740,AT,LOWL
Arrivals,National,2020,1294,AT,LOWL
Arrivals,National,2021,747,AT,LOWL
Arrivals,National,2022,5194,AT,LOWL
Arrivals,International,2017,901565,AT,LOWS
Arrivals,International,2018,870594,AT,LOWS
Arrivals,International,2019,817871,AT,LOWS
Arrivals,International,2020,320660,AT,LOWS
Arrivals,International,2021,154325,AT,LOWS
Arrivals,International,2022,623213,AT,LOWS
Arrivals,National,2017,52550,AT,LOWS
Arrivals,National,2018,54867,AT,LOWS
Arrivals,National,2019,45040,AT,LOWS
Arrivals,National,2020,8410,AT,LOWS
Arrivals,National,2021,716,AT,LOWS
Arrivals,National,2022,5032,AT,LOWS
Arrivals,International,2017,11947789,AT,LOWW
Arrivals,International,2018,13249066,AT,LOWW
Arrivals,International,2019,15576030,AT,LOWW
Arrivals,International,2020,3874316,AT,LOWW
Arrivals,International,2021,5213556,AT,LOWW
Arrivals,International,2022,11860907,AT,LOWW
Arrivals,National,2017,276401,AT,LOWW
Arrivals,National,2018,291423,AT,LOWW
Arrivals,National,2019,274384,AT,LOWW
Arrivals,National,2020,72014,AT,LOWW
Arrivals,National,2021,57902,AT,LOWW
Arrivals,National,2022,113168,AT,LOWW
Arrivals,International,2021,383003,BA,LQSA
Arrivals,National,2021,825,BA,LQSA
Arrivals,International,2021,115538,BA,LQTZ
Arrivals,National,2021,0,BA,LQTZ
Arrivals,International,2017,125069,BE,EBAW
Arrivals,International,2018,137894,BE,EBAW
Arrivals,International,2019,142791,BE,EBAW
Arrivals,International,2020,37183,BE,EBAW
Arrivals,International,2021,55736,BE,EBAW
Arrivals,International,2022,105373,BE,EBAW
Arrivals,National,2017,1899,BE,EBAW
Arrivals,National,2018,1939,BE,EBAW
Arrivals,National,2019,2241,BE,EBAW
Arrivals,National,2020,1239,BE,EBAW
Arrivals,National,2021,1292,BE,EBAW
Arrivals,National,2022,1659,BE,EBAW
Arrivals,International,2017,12408801,BE,EBBR
Arrivals,International,2018,12860666,BE,EBBR
Arrivals,International,2019,13216087,BE,EBBR
Arrivals,International,2020,3413631,BE,EBBR
